Identifier,tY,tX,bK,tM,tN,time,GFLOPs,percentagePeak
cuBLAS,1,32,8,2,2,1.520938,5783.334423,29.670541
Outer-Product + No Remainder,1,32,8,2,2,11.680559,753.054141,3.863433
Inner Product + No Remainder,1,32,8,2,2,11.678821,753.166163,3.864008
Inner Product + Remainder,1,32,8,2,2,20.934186,420.178421,2.155663
cuBLAS,1,32,16,2,2,1.382740,6361.349989,32.635965
Outer-Product + No Remainder,1,32,16,2,2,11.987651,733.762832,3.764462
Inner Product + No Remainder,1,32,16,2,2,11.992585,733.460972,3.762913
Inner Product + Remainder,1,32,16,2,2,20.811943,422.646404,2.168325
cuBLAS,1,32,32,2,2,1.325815,6634.481455,34.037225
Outer-Product + No Remainder,1,32,32,2,2,20.525004,428.554999,2.198638
Inner Product + No Remainder,1,32,32,2,2,20.524709,428.561157,2.198670
Inner Product + Remainder,1,32,32,2,2,20.377842,431.649883,2.214516
cuBLAS,1,32,64,2,2,1.496625,5877.285429,30.152543
Outer-Product + No Remainder,1,32,64,2,2,36.570902,240.521629,1.233961
Inner Product + No Remainder,1,32,64,2,2,36.576113,240.487363,1.233785
Inner Product + Remainder,1,32,64,2,2,36.612348,240.249358,1.232564
cuBLAS,1,32,8,2,4,1.385479,6348.773401,32.571442
Outer-Product + No Remainder,1,32,8,2,4,6.249809,1407.417986,7.220550
Inner Product + No Remainder,1,32,8,2,4,6.247337,1407.974813,7.223406
Inner Product + Remainder,1,32,8,2,4,6.247324,1407.977674,7.223421
cuBLAS,1,32,16,2,4,1.410806,6234.800785,31.986723
Outer-Product + No Remainder,1,32,16,2,4,7.388651,1190.487028,6.107618
Inner Product + No Remainder,1,32,16,2,4,7.385021,1191.072254,6.110620
Inner Product + Remainder,1,32,16,2,4,7.403148,1188.155779,6.095657
cuBLAS,1,32,32,2,4,1.413439,6223.183994,31.927125
Outer-Product + No Remainder,1,32,32,2,4,11.443411,768.660054,3.943497
Inner Product + No Remainder,1,32,32,2,4,11.501562,764.773810,3.923559
Inner Product + Remainder,1,32,32,2,4,11.507660,764.368508,3.921480
cuBLAS,1,32,64,2,4,1.368602,6427.066330,32.973113
Outer-Product + No Remainder,1,32,64,2,4,23.208990,378.995076,1.944378
Inner Product + No Remainder,1,32,64,2,4,23.351203,376.686930,1.932537
Inner Product + Remainder,1,32,64,2,4,23.039561,381.782153,1.958677
cuBLAS,1,32,8,2,8,1.421244,6189.009704,31.751798
Outer-Product + No Remainder,1,32,8,2,8,7.428621,1184.081529,6.074755
Inner Product + No Remainder,1,32,8,2,8,7.429931,1183.872827,6.073684
Inner Product + Remainder,1,32,8,2,8,7.430593,1183.767260,6.073143
cuBLAS,1,32,16,2,8,1.347424,6528.083022,33.491364
Outer-Product + No Remainder,1,32,16,2,8,10.907266,806.443459,4.137339
Inner Product + No Remainder,1,32,16,2,8,10.898146,807.118259,4.140801
Inner Product + Remainder,1,32,16,2,8,10.841152,811.361444,4.162570
cuBLAS,1,32,32,2,8,1.384528,6353.133333,32.593810
Outer-Product + No Remainder,1,32,32,2,8,21.977881,400.224802,2.053294
Inner Product + No Remainder,1,32,32,2,8,22.355924,393.456924,2.018573
Inner Product + Remainder,1,32,32,2,8,22.060207,398.731209,2.045631
cuBLAS,1,32,8,2,12,1.345216,6538.794517,33.546318
Outer-Product + No Remainder,1,32,8,2,12,8.788525,1000.861081,5.134770
Inner Product + No Remainder,1,32,8,2,12,8.771705,1002.780297,5.144616
Inner Product + Remainder,1,32,8,2,12,9.014180,975.806266,5.006230
cuBLAS,1,32,16,2,12,1.387485,6339.592875,32.524343
Outer-Product + No Remainder,1,32,16,2,12,15.076776,583.420010,2.993150
Inner Product + No Remainder,1,32,16,2,12,15.067364,583.784454,2.995020
Inner Product + Remainder,1,32,16,2,12,15.578929,564.614755,2.896672
cuBLAS,1,32,16,2,12,1.363487,6451.175704,33.096802
Outer-Product + No Remainder,1,32,16,2,12,15.084635,583.116075,2.991591
Inner Product + No Remainder,1,32,16,2,12,15.069039,583.719571,2.994687
Inner Product + Remainder,1,32,16,2,12,15.575276,564.747155,2.897352
cuBLAS,1,32,8,4,2,1.353419,6499.163229,33.342995
Outer-Product + No Remainder,1,32,8,4,2,5.904750,1489.663918,7.642500
Inner Product + No Remainder,1,32,8,4,2,5.913596,1487.435642,7.631068
Inner Product + Remainder,1,32,8,4,2,10.602411,829.631384,4.256301
cuBLAS,1,32,16,4,2,1.494507,5885.615784,30.195281
Outer-Product + No Remainder,1,32,16,4,2,6.207727,1416.958839,7.269498
Inner Product + No Remainder,1,32,16,4,2,6.206725,1417.187467,7.270671
