Name,N,Time(us)
AoS,16,1970
AoS,16,1968
AoS,16,1968
AoS,16,1968
AoS,16,1966
AoS,16,1969
AoS,16,1968
AoS,16,1968
AoS,16,1968
AoS,16,1968
AoS,32,3939
AoS,32,3933
AoS,32,3934
AoS,32,3930
AoS,32,3930
AoS,32,3933
AoS,32,3933
AoS,32,3976
AoS,32,3934
AoS,32,3934
AoS,64,7867
AoS,64,7866
AoS,64,7869
AoS,64,7870
AoS,64,7871
AoS,64,7868
AoS,64,7870
AoS,64,7865
AoS,64,7870
AoS,64,7865
AoS,128,15738
AoS,128,15742
AoS,128,15731
AoS,128,15738
AoS,128,15740
AoS,128,15698
AoS,128,15701
AoS,128,15696
AoS,128,15736
AoS,128,15738
AoS,256,31482
AoS,256,31487
AoS,256,31507
AoS,256,31485
AoS,256,31480
AoS,256,31488
AoS,256,31494
AoS,256,31482
AoS,256,31493
AoS,256,31494
AoS,512,63049
AoS,512,63076
AoS,512,62895
AoS,512,62917
AoS,512,62886
AoS,512,62908
AoS,512,62882
AoS,512,62888
AoS,512,62899
AoS,512,62877
AoS,1024,125767
AoS,1024,125907
AoS,1024,125884
AoS,1024,125986
AoS,1024,125856
AoS,1024,125838
AoS,1024,125906
AoS,1024,125872
AoS,1024,125869
AoS,1024,125869
AoS,2048,251722
AoS,2048,252195
AoS,2048,252156
AoS,2048,252177
AoS,2048,251710
AoS,2048,251674
AoS,2048,251643
AoS,2048,251715
AoS,2048,251678
AoS,2048,251751
AoS,4096,503049
AoS,4096,503467
AoS,4096,503410
AoS,4096,503301
AoS,4096,503379
AoS,4096,503377
AoS,4096,503310
AoS,4096,504250
AoS,4096,504080
AoS,4096,503357
AoS,8192,1007002
AoS,8192,1006220
AoS,8192,1006584
AoS,8192,1006614
AoS,8192,1006527
AoS,8192,1006719
AoS,8192,1008649
AoS,8192,1008691
AoS,8192,1007111
AoS,8192,1006628
SoA,16,2075
SoA,16,2064
SoA,16,2040
SoA,16,2058
SoA,16,2042
SoA,16,2057
SoA,16,2043
SoA,16,2058
SoA,16,2042
SoA,16,2058
SoA,32,5168
SoA,32,4830
SoA,32,4798
SoA,32,4803
SoA,32,4799
SoA,32,4838
SoA,32,4815
SoA,32,4822
SoA,32,4844
SoA,32,4810
SoA,64,10498
SoA,64,11052
SoA,64,11038
SoA,64,11089
SoA,64,11022
SoA,64,11100
SoA,64,10963
SoA,64,11029
SoA,64,10989
SoA,64,11075
SoA,128,28620
SoA,128,26075
SoA,128,26293
SoA,128,25990
SoA,128,26270
SoA,128,26069
SoA,128,26318
SoA,128,26048
SoA,128,26315
SoA,128,26095
SoA,256,103794
SoA,256,109380
SoA,256,107087
SoA,256,103927
SoA,256,109254
SoA,256,106966
SoA,256,103997
SoA,256,109314
SoA,256,107126
SoA,256,103738
SoA,512,326112
SoA,512,327240
SoA,512,326769
SoA,512,326461
SoA,512,327095
SoA,512,326768
SoA,512,326174
SoA,512,327169
SoA,512,326396
SoA,512,326198
SoA,1024,651958
SoA,1024,649639
SoA,1024,651549
SoA,1024,652715
SoA,1024,650846
SoA,1024,651076
SoA,1024,651442
SoA,1024,651120
SoA,1024,650051
SoA,1024,650967
SoA,2048,1298386
SoA,2048,1297591
SoA,2048,1294217
SoA,2048,1294983
SoA,2048,1299122
SoA,2048,1297100
SoA,2048,1298451
SoA,2048,1300958
SoA,2048,1300848
SoA,2048,1299625
SoA,4096,2596101
SoA,4096,2593854
SoA,4096,2599200
SoA,4096,2595416
SoA,4096,2595098
SoA,4096,2601099
SoA,4096,2595210
SoA,4096,2595970
SoA,4096,2605322
SoA,4096,2594754
SoA,8192,5241967
SoA,8192,5234652
SoA,8192,5238312
SoA,8192,5242157
SoA,8192,5234144
SoA,8192,5238050
SoA,8192,5240460
SoA,8192,5237705
SoA,8192,5237614
SoA,8192,5239620
